task_id;value;criticality;uncertainty;reasoning
C1231006815;9839.64;408.55;0.28;Transaction amount is within standard deviation for account history.
C1666544295;1864.28;534.37;0.19;Routine payment to a verified merchant account.
C1305486145;181;4167.06;0.85;"Transfer amount matches total balance; typical account takeover signature."
C840083671;181;1334.18;0.85;Suspicious rapid cash-out following a transfer event.
C2048537720;11668.14;789.92;0.22;High value but consistent with previous monthly payment cycles.
C90045638;7817.71;407.18;0.15;Low uncertainty based on recipient reputation score.
C154988899;7107.77;449.99;0.1;Authorized recurring transaction confirmed via token.
C1912850431;7861.64;245.75;0.2;Validated origin IP and known device signature.
C1265012928;4024.36;432.17;0.28;"Standard payment behavior detected; low risk profile."
C712410124;5337.77;769.23;0.27;Transaction within normal limits for this merchant category.
C1900366749;9644.94;469.68;0.02;"Internal payroll movement; zero risk detected."
C249177573;3099.97;369.18;0.25;Verified utility payment from a primary account.
C1648232591;2560.74;149.35;0.24;Domestic transfer to a frequently used recipient.
C1716932897;11633.76;768.44;0.21;"Multi-factor authentication was successful; low uncertainty."
C1026483832;4098.78;139.86;0.24;Standard monthly mortgage allocation detected.
C905080434;229133.94;107.27;0.09;"Authorized real estate closing funds; high value but low risk."
C761750706;1563.82;91.09;0.26;Small domestic purchase at a known local retailer.
C1237762639;1157.86;559.81;0.28;Consistent with historical average transaction size.
C2033524545;671.64;712.58;0.08;"Automated billing event; high confidence."
C1670993182;215310.3;327.99;0.21;"Inter-account corporate sweep; pre-authorized protocol."
C20804602;1373.43;641.63;0.04;Direct deposit verified through central treasury.
C1566511282;9302.79;156.01;0.29;"Tax installment payment; high confidence in origin."
C1959239586;1065.41;771.88;0.03;Standard digital subscription renewal.
C504336483;3876.41;312.48;0.22;"Healthcare expenditure; matches historical usage patterns."
C1984094095;311685.89;183.29;0.14;Approved dividend distribution to shareholders.
C1043358826;6061.13;327.29;0.09;"Internal fund rebalancing; low risk."
C1671590089;9478.39;624.86;0.24;Payment processed through secure partner gateway.
C1053967012;8009.09;665.44;0.15;"Corporate travel reimbursement; verified receipt attached."
C1632497828;8901.99;682.65;0.17;"Equipment lease payment; recurring schedule."
C764826684;9920.52;404.63;0.15;"Standard payment; recipient address is verified."
C2103763750;3448.92;603.6;0.15;"Marketing vendor payment; within quarterly budget."
C215078753;4206.84;406.34;0.27;"Employee expense claim; moderate verification required."
C840514538;5885.56;648.65;0.11;Validated inventory restock order.
C1768242710;5307.88;745.12;0.06;"Software license renewal; pre-approved contract."
C247113419;5031.22;235.44;0.05;Internal transfer to a savings bucket.
C1238616099;24213.67;335.46;0.03;Authorized quarterly tax withholding.
C1608633989;8603.42;154.66;0.05;"Professional services fee; recurring partner."
C923341586;2791.42;284.72;0.17;Payment consistent with monthly operational spend.
C1470868839;7413.54;487.95;0.27;"Ad-hoc vendor payment; requires standard audit."
C711197015;3295.19;250.53;0.09;"Known merchant transaction; low risk signature."
C1481594086;1684.81;96.92;0.02;Subscription payment to verified entity.
C1466917878;5758.59;409.2;0.27;Transaction requires manual sanity check for high value.
C768216420;110414.71;666.77;0.23;Approved bulk supplier payment.
C260084831;7823.46;770.86;0.19;Domestic transfer within expected behavioral bounds.
C598357562;5086.48;92;0.16;Automated payment sequence verified.
C1440738283;5281.48;357;0.27;Standard spending pattern for this user account.
C484199463;13875.98;333.54;0.24;"Mid-tier vendor payment; low risk metadata."
C1570470538;56953.9;284.43;0.13;"High value purchase; pre-authorized by account holder."
C512549200;5346.89;64.39;0.18;Direct debit from utility company.
C1615801298;2204.04;612.91;0.13;Retail transaction at a frequently visited location.
C460570271;2641.47;797.89;0.15;Online marketplace purchase with buyer protection.
C2072313080;23261.3;650.09;0.2;"Inventory procurement payment; approved vendor."
C816944408;2330.64;473.31;0.22;"Verified personal transfer; no fraud signs."
C912966811;1614.64;367.29;0.09;Automated rent payment cycle.
C1458621573;9164.71;441.43;0.25;Purchase amount is within historical range.
C46941357;2970.97;513.21;0.04;"Government fee payment; certain validity."
C343345308;38.66;260.21;0.2;Small transaction with low fraud risk.
C104716441;2252.44;274.35;0.16;Standard retailer transaction.
C1976401987;62610.8;147.18;0.06;Internal payroll batch processing.
C867288517;5529.13;370.39;0.09;Validated invoice payment.
C1528834618;82940.31;797.2;0.19;"Large bulk buy order; pre-approved credit line."
C280615803;4510.22;265.48;0.15;Subscription renewal confirmed.
C166694583;8727.74;750.11;0.02;Certified bank transfer.
C885910946;2599.46;205.56;0.14;Known merchant signature.
C811207775;4874.49;684.33;0.25;Moderate uncertainty due to high velocity.
C1161148117;6440.78;301.16;0.27;"Merchant account has limited history; auditing required."
C1131592118;4910.14;692.23;0.05;Standard payment channel verified.
C1262609629;6444.64;725.74;0.06;Low risk profile based on IP analysis.
C1955990522;5149.66;116.84;0.06;Recurring service payment.
C69673470;7292.16;445.19;0.17;Standard monthly transaction.
C527211736;47458.86;196.78;0.11;Pre-validated enterprise payment.
C1533123860;136872.92;441.9;0.11;Authorized high-value inter-bank move.
C1718906711;94253.33;730.74;0.12;Validated corporate liquidity movement.
C71802912;2998.04;405.05;0.2;Standard retail spend.
C686349795;3454.08;762.33;0.1;"Automated billing; low risk."
C1423768154;4316.2;741.21;0.19;Domestic transaction matches user footprint.
C1987977423;2131.84;331.37;0.27;Manual audit suggested for new merchant interaction.
C807322507;12986.61;642.28;0.18;"Supplier payment; high confidence."
C283039401;42712.39;787.72;0.06;Treasury approved transaction.
C207471778;77957.68;760.68;0.25;Large amount requires secondary verification.
C1243171897;17231.46;775.65;0.11;Verified merchant payment.
C1376151044;78766.03;207.91;0.19;Quarterly dividend sweep.
C873175411;224606.64;207.08;0.29;Real estate down payment confirmed.
C1443967876;125872.53;572.62;0.11;Authorized high-value move.
C1449772539;379856.23;629.71;0.1;Inter-company loan repayment.
C926859124;1505626.01;506.29;0.12;"Treasury fund relocation; pre-cleared."
C1603696865;554026.99;369.41;0.03;Investment capital allocation.
C12905860;147543.1;493.54;0.07;Approved insurance payout.
C412788346;761507.39;145.83;0.1;Secured inter-bank transfer.
C1520267010;1429051.47;360.11;0.15;Bulk liquidity injection to subsidiary.
C908084672;358831.92;168.77;0.28;Cross-border trade payment audit suggested.
C288306765;367768.4;124.21;0.16;Securities purchase confirmed.
C1556867940;209711.11;411.76;0.14;Authorized high-value transaction.
C1839168128;583848.46;508.28;0.08;Validated corporate payroll run.
C1412322831;2875.1;625.33;0.13;Domestic retail purchase.
C1305004711;8586.98;514.65;0.19;Standard operational expense.